Shot Chart Detail,0021400110,151,200794,Paul Millsap,1610612737,Atlanta Hawks,2,8,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,9,1,0
Shot Chart Detail,0021400110,216,200794,Paul Millsap,1610612737,Atlanta Hawks,2,3,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,171,190,1,1
Shot Chart Detail,0021400110,222,200794,Paul Millsap,1610612737,Atlanta Hawks,2,3,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-81,244,1,1
Shot Chart Detail,0021400110,232,200794,Paul Millsap,1610612737,Atlanta Hawks,2,1,37,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021400110,258,200794,Paul Millsap,1610612737,Atlanta Hawks,3,11,27,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,15,1,0
Shot Chart Detail,0021400110,288,200794,Paul Millsap,1610612737,Atlanta Hawks,3,8,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1
Shot Chart Detail,0021400110,295,200794,Paul Millsap,1610612737,Atlanta Hawks,3,7,24,Missed Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-59,44,1,0
Shot Chart Detail,0021400110,296,200794,Paul Millsap,1610612737,Atlanta Hawks,3,7,23,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,14,1,1
Shot Chart Detail,0021400110,300,200794,Paul Millsap,1610612737,Atlanta Hawks,3,6,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-150,208,1,1
Shot Chart Detail,0021400110,307,200794,Paul Millsap,1610612737,Atlanta Hawks,3,5,14,Missed Shot,Driving Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,19,1,0
Shot Chart Detail,0021400110,331,200794,Paul Millsap,1610612737,Atlanta Hawks,3,2,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,15,1,1
Shot Chart Detail,0021400110,336,200794,Paul Millsap,1610612737,Atlanta Hawks,3,1,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,177,183,1,1
Shot Chart Detail,0021400110,367,200794,Paul Millsap,1610612737,Atlanta Hawks,4,11,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-188,187,1,0
Shot Chart Detail,0021400110,372,200794,Paul Millsap,1610612737,Atlanta Hawks,4,11,6,Missed Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,4,75,1,0
Shot Chart Detail,0021400110,381,200794,Paul Millsap,1610612737,Atlanta Hawks,4,9,55,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,34,1,0
Shot Chart Detail,0021400110,453,200794,Paul Millsap,1610612737,Atlanta Hawks,4,3,27,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,1
Shot Chart Detail,0021400110,460,200794,Paul Millsap,1610612737,Atlanta Hawks,4,2,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,19,1,1
Shot Chart Detail,0021400124,42,200794,Paul Millsap,1610612737,Atlanta Hawks,1,7,29,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-106,36,1,0
Shot Chart Detail,0021400124,210,200794,Paul Millsap,1610612737,Atlanta Hawks,2,5,2,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,15,1,0
Shot Chart Detail,0021400124,214,200794,Paul Millsap,1610612737,Atlanta Hawks,2,4,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-68,205,1,1
Shot Chart Detail,0021400124,227,200794,Paul Millsap,1610612737,Atlanta Hawks,2,3,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,185,3,1,0
Shot Chart Detail,0021400124,233,200794,Paul Millsap,1610612737,Atlanta Hawks,2,2,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1
Shot Chart Detail,0021400124,267,200794,Paul Millsap,1610612737,Atlanta Hawks,2,0,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,67,244,1,1
Shot Chart Detail,0021400124,273,200794,Paul Millsap,1610612737,Atlanta Hawks,3,11,47,Missed Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,42,1,0
Shot Chart Detail,0021400124,302,200794,Paul Millsap,1610612737,Atlanta Hawks,3,7,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,11,1,1
Shot Chart Detail,0021400124,304,200794,Paul Millsap,1610612737,Atlanta Hawks,3,7,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-157,201,1,0
Shot Chart Detail,0021400124,323,200794,Paul Millsap,1610612737,Atlanta Hawks,3,5,6,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
Shot Chart Detail,0021400124,342,200794,Paul Millsap,1610612737,Atlanta Hawks,3,2,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,33,-153,302,1,0
